Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Winner
Fluxo,S14,BR,18,38.9%,0.83,1778,-65,33:13:00,12.0,14.4,5.9,7.1,50.0,38.9,1.89,39.9,2.2,0.72,72.2,0.94,-0.4,-529,3.56,0.72,43.5,32.0,2130,3.5,1.39,1.56,0
FURIA Esports,S14,BR,18,22.2%,0.71,1733,-145,33:56:00,11.4,16.1,4.7,8.0,55.6,50.0,2.17,42.8,1.3,0.22,23.5,1.17,0.0,-96,3.67,0.44,30.4,32.2,2030,3.9,1.57,1.88,0
INTZ e-Sports,S14,BR,18,16.7%,0.61,1662,-235,35:08:00,10.8,17.7,3.8,8.6,38.9,22.2,2.39,43.2,2.2,0.61,64.7,1.00,-0.3,-1150,3.56,0.56,27.9,30.1,2199,3.5,1.36,1.59,0
KaBuM! e-Sports,S14,BR,18,55.6%,1.19,1807,35,32:57:00,12.8,10.7,6.3,6.4,50.0,66.7,2.67,54.1,2.8,0.28,29.4,1.39,0.1,-454,3.78,0.67,51.0,32.7,2195,3.7,1.30,1.70,0
Liberty,S14,BR,18,50.0%,0.76,1769,-59,32:56:00,11.6,15.1,5.2,6.4,22.2,22.2,1.67,32.6,2.4,0.33,35.3,0.39,-0.1,-847,3.28,1.00,51.9,32.5,2029,3.3,01.08,1.75,0
Los Grandes,S14,BR,18,50.0%,1.11,1789,-26,35:16:00,13.3,11.8,6.0,6.6,72.2,44.4,2.50,46.5,2.1,0.50,50.0,0.72,0.1,380,2.89,0.94,46.3,32.5,2066,4.2,1.45,1.63,0
LOUD,S14,BR,18,66.7%,1.12,1852,62,33:33:00,15.4,13.7,7.4,5.1,33.3,50.0,2.89,57.8,2.8,0.72,72.2,1.17,0.2,246,4.22,0.89,54.6,32.4,2339,3.6,1.35,1.67,1
paiN Gaming,S14,BR,18,61.1%,1.23,1856,82,33:34:00,15.5,12.6,6.8,5.2,72.2,66.7,2.44,49.2,2.6,0.22,25.0,0.67,0.1,553,4.89,0.94,59.3,32.9,2384,3.9,1.52,1.75,0
RED Canids,S14,BR,18,66.7%,1.32,1837,114,36:35:00,15.8,11.9,7.9,5.2,61.1,72.2,3.50,65.8,2.7,0.50,50.0,1.11,0.3,1367,4.28,01.06,58.3,32.0,2400,3.5,1.27,1.62,0
Vivo Keyd Stars,S14,BR,18,72.2%,1.47,1939,237,31:18:00,16.8,11.4,8.0,3.7,44.4,66.7,2.89,68.3,1.8,0.72,72.2,01.06,0.1,530,4.17,0.89,76.5,33.8,2395,3.5,1.12,1.78,0
Fluxo,S13,BR,18,61.1%,1.22,1819,75,34:03:00,14.0,11.5,7.8,5.5,72.2,55.6,2.50,51.5,-,0.78,38.9,0.89,0.1,204,4.61,1.00,62.0,32.1,2395,3.3,1.32,1.75,0
FURIA Esports,S13,BR,18,44.4%,01.05,1757,-37,34:11:00,12.3,11.7,6.1,7.2,44.4,44.4,2.22,42.3,-,01.06,52.8,0.83,0.1,-162,4.17,0.94,46.1,31.3,2089,3.4,1.47,1.59,0
INTZ e-Sports,S13,BR,18,61.1%,1.13,1826,69,33:06:00,14.7,13.0,6.9,5.4,72.2,38.9,2.72,57.5,-,1.33,66.7,01.06,0.1,698,4.83,01.06,60.2,31.4,2268,3.3,1.32,1.64,0
KaBuM! e-Sports,S13,BR,18,5.6%,0.52,1632,-308,33:27:00,9.3,17.8,2.9,9.4,44.4,50.0,1.50,29.5,-,0.67,33.3,0.72,-0.2,-1187,4.17,0.17,11.1,31.0,1983,3.8,1.57,1.50,0
Liberty,S13,BR,18,11.1%,0.61,1663,-239,31:51:00,10.3,16.9,4.2,8.1,61.1,44.4,1.83,40.6,-,1.00,50.0,0.72,-0.2,-126,4.00,0.33,22.7,30.7,2093,3.4,1.54,1.32,0
Los Grandes,S13,BR,18,33.3%,0.74,1745,-118,32:05:00,12.2,16.3,5.0,7.7,38.9,11.1,02.06,43.1,-,0.83,41.7,0.89,-0.4,-696,3.78,0.67,35.2,31.1,2265,3.2,1.27,1.54,0
LOUD,S13,BR,18,72.2%,1.28,1877,167,31:59:00,16.8,13.1,7.9,4.3,38.9,72.2,2.89,63.5,-,1.33,66.7,1.17,0.3,377,5.89,1.17,70.8,31.7,2417,3.4,1.33,1.51,1
paiN Gaming,S13,BR,18,77.8%,1.65,1930,257,33:11:00,16.9,10.2,8.3,4.2,44.4,83.3,2.61,57.8,-,01.06,52.8,0.83,0.4,1475,5.56,1.33,78.2,32.8,2364,3.6,1.45,1.95,0
RED Canids,S13,BR,18,77.8%,1.27,1871,119,35:56:00,16.9,13.3,7.9,5.8,38.9,55.6,2.83,52.4,-,1.00,50.0,0.89,-0.1,-371,5.22,1.56,67.1,31.9,2325,3.8,1.51,1.51,0
Vivo Keyd Stars,S13,BR,18,55.6%,01.04,1825,14,30:34:00,14.8,14.2,6.4,5.9,44.4,44.4,2.39,61.7,-,0.94,47.2,0.89,-0.1,-211,4.56,0.72,46.1,32.1,2259,3.4,1.43,1.41,0
Fluxo,S13,BR,18,55.6%,1.25,1789,47,33:26:00,14.3,11.4,7.3,6.1,55.6,50.0,2.50,54.1,-,01.06,52.8,0.89,-0.1,342,4.17,0.94,51.9,30.3,2483,2.4,1.22,1.53,0
FURIA Esports,S13,BR,18,50.0%,01.07,1794,39,35:58:00,12.6,11.8,6.9,6.9,55.6,72.2,2.44,50.1,-,1.28,63.9,1.00,0.3,756,4.44,0.83,44.0,32.0,2023,2.7,1.47,1.71,0
INTZ e-Sports,S13,BR,18,38.9%,0.79,1762,-90,31:58:00,13.8,17.5,5.8,6.3,44.4,50.0,2.00,43.3,-,0.94,47.2,0.83,-0.1,-442,3.61,0.78,42.6,30.3,2240,2.6,1.33,1.60,0
KaBuM! e-Sports,S13,BR,18,38.9%,0.99,1794,7,34:57:00,14.6,14.8,6.3,7.1,38.9,55.6,2.56,52.8,-,0.83,44.4,01.06,0.1,18,4.00,0.83,49.1,31.3,2396,2.9,1.52,1.72,0
Liberty,S13,BR,18,27.8%,0.65,1701,-141,35:03:00,10.3,15.8,5.0,8.4,33.3,61.1,2.00,39.7,-,0.94,47.2,0.67,0.1,-568,3.56,0.72,40.7,30.7,2140,2.9,1.47,1.54,0
Los Grandes,S13,BR,18,66.7%,1.14,1866,112,32:45:00,14.6,12.8,7.2,5.5,44.4,50.0,2.50,54.6,-,01.06,52.8,0.89,-0.3,-283,5.33,1.17,59.3,32.5,2351,2.4,1.30,1.54,0
LOUD,S13,BR,18,66.7%,1.10,1810,49,32:29:00,14.4,13.1,7.1,5.8,50.0,44.4,2.39,57.4,-,1.00,50.0,1.17,0.1,-11,4.33,0.83,54.4,31.1,2376,2.7,1.45,1.45,1
paiN Gaming,S13,BR,18,66.7%,1.18,1783,66,33:13:00,12.8,10.8,7.1,5.2,50.0,44.4,2.44,50.0,-,0.72,38.9,0.72,-0.1,332,4.61,0.72,62.5,32.0,2104,2.6,1.55,1.66,0
